Landmark,RL,AP,SI
L3L*@#,-0.313143,0.0869592,-0.706137
L3R*@#,0.0539397,0.204154,-0.651411
L4L*@#,-0.280327,0.154714,-0.860935
L4R*@#,0.0996865,0.218634,-0.795554
L5L*@#,-0.252925,0.171257,-1.0
L5R*@#,0.161678,0.208564,-0.939326
Max angle:,46.8887679882,TrXFiducials032#,
T1L*@#,-0.113046,0.00964613,0.907345
T1R*@#,0.14962,0.03727,0.920787
T2L*@#,-0.09807,-0.0216768,0.800067
T2R*@#,0.164596,0.00594704,0.813509
T3L*@#,-0.0830942,-0.0529998,0.692789
T3R*@#,0.179572,-0.0253759,0.706231
T4L*@#,-0.0681185,-0.0843227,0.585511
T4R*@#,0.194547,-0.0566989,0.598953
T5L*@#,-0.0512759,-0.112487,0.476445
T5R*@#,0.207656,-0.0911803,0.493464
T6L*@#,-0.0583664,-0.122369,0.371656
T6R*@#,0.212033,-0.127196,0.354047
T7L*@#,-0.0587465,-0.125371,0.255865
T7R*@#,0.208692,-0.131736,0.215739
T8L*@#,-0.0676294,-0.125358,0.137036
T8R*@#,0.192036,-0.111009,0.0801667
T9L*@#,-0.0752293,-0.118558,0.0289752
T9R*@#,0.149472,-0.083191,-0.0459401
T10L*@#,-0.100985,-0.106788,-0.0767568
T10R*@#,0.114518,-0.034761,-0.16036
T11L*@#,-0.140686,-0.076716,-0.200365
T11R*@#,0.0558345,0.0191226,-0.246709
T12L*@#,-0.156529,-0.0446993,-0.32983
T12R*@#,0.0114852,0.0546619,-0.338655
L1L*@#,-0.230773,-0.0201562,-0.470762
L1R*@#,0.00984011,0.122232,-0.445658
L2L*@#,-0.249102,0.0271606,-0.606211
L2R*@#,0.0185045,0.171947,-0.547266
L3L*@#,-0.247418,0.0895328,-0.74839
L3R*@#,0.0793261,0.214131,-0.656693
L4L*@#,-0.216165,0.141811,-0.874195
L4R*@#,0.110579,0.26641,-0.782498
L5L*@#,-0.184912,0.194089,-1.0
L5R*@#,0.141832,0.318688,-0.908303
Max angle:,31.8423444538,TrXFiducials033#,
T1L*@#,-0.205895,-0.0417,0.888626
T1R*@#,0.0657457,0.0200017,0.94074
T2L*@#,-0.185302,-0.0544957,0.780398
T2R*@#,0.086339,0.0072058,0.832511
T3L*@#,-0.164708,-0.0672911,0.672175
T3R*@#,0.106933,-0.00558964,0.724288
T4L*@#,-0.144114,-0.0800871,0.563946
T4R*@#,0.127526,-0.0183856,0.61606
T5L*@#,-0.123521,-0.0928825,0.455722
T5R*@#,0.148119,-0.031181,0.507836
T6L*@#,-0.107425,-0.0892877,0.345274
T6R*@#,0.173211,-0.060367,0.401833
T7L*@#,-0.0879192,-0.0743078,0.228364
T7R*@#,0.200236,-0.087045,0.270226
T8L*@#,-0.0682089,-0.0531917,0.112324
T8R*@#,0.202112,-0.0968881,0.135263
T9L*@#,-0.0649993,-0.0375982,0.0120718
T9R*@#,0.202626,-0.0914706,0.00268957
T10L*@#,-0.0691701,-0.0186879,-0.0851527
T10R*@#,0.193791,-0.0700424,-0.13081
T11L*@#,-0.0768831,0.00742117,-0.184525
T11R*@#,0.175286,-0.0262679,-0.240701
T12L*@#,-0.0657953,0.0226987,-0.309758
T12R*@#,0.134,0.0182353,-0.360455
L1L*@#,-0.101764,0.0348701,-0.442138
L1R*@#,0.101036,0.0659165,-0.483442
L2L*@#,-0.190407,0.0658173,-0.540675
L2R*@#,0.146046,0.07911,-0.595357
L3L*@#,-0.270703,0.0948894,-0.673679
L3R*@#,0.146899,0.123667,-0.733804
L4L*@#,-0.29902,0.121555,-0.842543
L4R*@#,0.140028,0.149817,-0.879387
L5L*@#,-0.26113,0.126549,-1.0
L5R*@#,0.137037,0.159017,-0.987912
